# Nuclear repulsion: 3.601599501
# Root    E(Ha) 
1	    -7.396122777 
2	    -7.348115744
3	    -7.348029832
4	    -7.347917626
5	    -7.347916267
6	    -7.347821205
7	    -7.347750065
8	    -7.324009634
9	    -7.323814197
10    -7.323806467
11    -7.323708714
12    -7.300010379
13    -7.299855894
14    -7.299700827
15    -7.29970006
16    -7.299699796
17    -7.299493453
18    -6.825715639
19    -6.824395282
20    -6.811528504
21    -6.809446272
22    -6.808107928
23    -6.807940386
24    -6.805052566
25    -6.804893719
26    -6.788891228
27    -6.788582269
28    -6.787660637
29    -6.787616727
30    -6.786422351
31    -6.786403353
32    -6.78618117
33    -6.785814166
34    -6.782846597
35    -6.78220643
36    -6.776678346
37    -6.776584533
38    -6.776297255
39    -6.776185892
40    -6.775434703
41    -6.775335021
42    -6.775184133
43    -6.775081225
44    -6.770966744
45    -6.770422891
46    -6.763281269
47    -6.763213338
48    -6.762830309
49    -6.76257491
50    -6.762549199	
